✅ white heavy check mark; U+2705
❌ cross mark; U+274C
📒 ledger; U+1F4D2
❓ question mark; U+2753
❗ exclamation mark; U+2757
⚠ warning; U+26A0
🚫 prohibited; U+1F6AB
💩 pile of poo; U+1F4A9
⭐ star; U+2B50
🔥 fire; U+1F525
⬆ up arrow; U+2B06
➡ right arrow; U+27A1
⬇ down arrow; U+2B07
⬅ left arrow; U+2B05
